,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,Realiz1
2011:03,2.232189057,3.443144176,3.065914058,3.28591772,2.972948472,1.282210213,1.748174861,3.172966411,2.0096805,2.386579374,2.463706699
2011:04,2.597191223,2.567693829,3.462315494,3.358994394,2.885495471,2.463706699,1.282210213,1.748174861,3.172966411,2.0096805,2.752313655
2012:01,2.22697531,2.41817722,2.199706205,2.88729733,3.075390919,2.752313655,2.463706699,1.282210213,1.748174861,3.172966411,2.204303478
2012:02,2.381979568,2.272808729,2.379550362,2.899217635,2.479467814,2.204303478,2.752313655,2.463706699,1.282210213,1.748174861,1.536944076
2012:03,1.603958633,2.507266603,2.605502326,2.778863786,3.152736256,1.536944076,2.204303478,2.752313655,2.463706699,1.282210213,2.013776401
2012:04,1.791610448,2.196018655,2.615899087,3.008334244,2.737082394,2.013776401,1.536944076,2.204303478,2.752313655,2.463706699,-0.143486179
2013:01,2.138930189,1.700521303,1.840181748,2.594495586,2.788516968,-0.143486179,2.013776401,1.536944076,2.204303478,2.752313655,2.502399697
2013:02,1.82001651,2.337257151,2.044669334,2.325750187,2.736132335,2.502399697,-0.143486179,2.013776401,1.536944076,2.204303478,1.673657879
2013:03,2.216453549,2.343120518,2.59352352,2.69163345,2.527470302,1.673657879,2.502399697,-0.143486179,2.013776401,1.536944076,2.846265278
2013:04,1.850000739,2.330917973,2.703723151,2.456238218,2.813271983,2.846265278,1.673657879,2.502399697,-0.143486179,2.013776401,3.227887341
2014:01,2.003283391,2.471661535,2.654054013,2.452102239,2.730021635,3.227887341,2.846265278,1.673657879,2.502399697,-0.143486179,0.107932733
2014:02,3.307401148,3.001040984,2.855945629,2.893127044,3.174713424,0.107932733,3.227887341,2.846265278,1.673657879,2.502399697,3.948069197
