,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1987:01,6.8,7,6.95,6.7,6.7,6.795968102,6.664755584,7.297715401,7.186640766,6.829518875,6.833333333,6.9,7.166666667,7.066666667,7,6.795968102,6.682490397,7.259535159,7.150570456,6.931714581,6.627543869,7.276350635,6.609822016,7.442813968,6.574486755,6.666666667,6.666666667,6.6,6.566666667,6.6
1987:02,6.55,6.8,6.9,6.9,6.7,6.601052473,6.803064667,6.650299232,7.303037923,7.191375651,6.666666667,6.833333333,6.9,7.166666667,7.066666667,6.601052473,6.796861349,6.678609592,7.247380881,7.152868326,6.255093823,6.503367573,7.321711907,6.760741542,7.44185444,6.233333333,6.233333333,6.233333333,6.3,6.266666667
1987:03,6.1,6.5,6.7,6.85,6.8,6.020851893,6.607727369,6.83894868,6.677564149,7.297603579,6.233333333,6.666666667,6.833333333,6.9,7.166666667,6.020851893,6.606394226,6.832995353,6.726440977,7.228197703,5.934115824,6.124122878,6.486681167,7.198999742,6.866762406,5.966666667,5.966666667,6,6,6
1987:04,6,6.1,6.5,6.7,6.8,5.892206689,5.973055249,6.661598703,6.890889798,6.730240432,5.966666667,6.233333333,6.666666667,6.833333333,6.9,5.892206689,5.989316679,6.649550983,6.881014468,6.797481918,5.992405551,5.835685723,6.147023691,6.63485011,7.105285942,5.9,5.9,5.9,5.833333333,5.833333333
1988:01,5.9,6.1,6,6.45,6.7,5.973141901,5.952310032,6.038786399,6.742112788,6.949153001,5.9,5.966666667,6.233333333,6.666666667,6.833333333,5.973141901,5.947693919,6.062412274,6.72947389,6.928473834,5.780027219,6.065610723,5.916323698,6.252795486,6.791517348,5.7,5.7,5.7,5.7,5.7
1988:02,5.5,6,6.2,5.95,6.5,5.712350396,6.133021861,6.096957924,6.174508194,6.833446133,5.7,5.9,5.966666667,6.233333333,6.666666667,5.712350396,6.119441384,6.093856956,6.214452101,6.810867999,5.374705689,5.808890105,6.21787174,6.119355001,6.419448643,5.433333333,5.433333333,5.5,5.5,5.466666667
1988:03,5.4,5.5,6.05,6.2,5.9,5.410336379,5.864233393,6.336465239,6.285521685,6.345400231,5.433333333,5.7,5.9,5.966666667,6.233333333,5.410336379,5.848929879,6.298602293,6.282047715,6.384700915,5.337274074,5.400483111,5.933319487,6.462440565,6.357905186,5.466666667,5.466666667,5.5,5.5,5.466666667
1988:04,5.4,5.4,5.5,6.05,6.2,5.661466266,5.552261131,6.094338454,6.550764929,6.487131402,5.466666667,5.433333333,5.7,5.9,5.966666667,5.661466266,5.580113176,6.043480193,6.495530855,6.471642064,5.290698472,5.351182356,5.567564466,6.136568985,6.662736389,5.333333333,5.333333333,5.3,5.3,5.333333333
1989:01,5.3,5.4,5.5,5.5,6.05,5.425997413,5.945656317,5.79184019,6.354720319,6.753125831,5.333333333,5.466666667,5.433333333,5.7,5.9,5.425997413,5.912163353,5.819918402,6.26966768,6.674921991,5.405462278,5.360784472,5.582219593,5.794443577,6.388821159,5.166666667,5.166666667,5.2,5.233333333,5.2
1989:02,5.3,5.4,5.5,5.6,5.5,5.228927705,5.660031431,6.262296309,6.075446797,6.610778443,5.166666667,5.333333333,5.466666667,5.433333333,5.7,5.228927705,5.66440125,6.218451804,6.094427099,6.494530996,5.284318151,5.607255521,5.581502923,6.007256794,6.087302607,5.266666667,5.266666667,5.266666667,5.266666667,5.233333333
1989:03,5.3,5.4,5.5,5.5,5.7,5.522670132,5.438023468,5.965682179,6.570090582,6.363328848,5.266666667,5.166666667,5.333333333,5.466666667,5.433333333,5.522670132,5.476973823,5.945488057,6.500213759,6.36300868,5.272242439,5.452021836,5.922293085,6.022168315,6.382017198,5.233333333,5.3,5.266666667,5.266666667,5.233333333
1989:04,5.4,5.4,5.5,5.6,5.5,5.374644569,5.86021153,5.726562143,6.289745124,6.842218241,5.233333333,5.266666667,5.166666667,5.333333333,5.466666667,5.374644569,5.818455421,5.81039251,6.268103424,6.736514465,5.363859575,5.570293149,5.631628713,6.277282662,6.369097785,5.3,5.3,5.3,5.333333333,5.366666667
